Timestamp,Value
1438214400000,6912
1438300800000,6863
1438387200000,5293
1438473600000,5358
1438560000000,5280
1438646400000,5368
1438732800000,5235
1438819200000,5116
1438905600000,5189
1438992000000,5256
1439078400000,5123
1439164800000,5255
1439251200000,5280
1439337600000,5124
1439424000000,5286
1439510400000,5809
1439596800000,5382
1439683200000,5132
1439769600000,5347
1439856000000,4948
1439942400000,5192
1440028800000,4024
1440115200000,5088
1440201600000,5271
1440288000000,5013
1440374400000,5184
1440460800000,5097
1440547200000,5003
1440633600000,4708
1440720000000,4653
1440806400000,4329
1440892800000,4155
1440979200000,4122
1441065600000,3938
1441152000000,3577
1441238400000,3383
1441324800000,4443
1441411200000,4921
1441497600000,4978
1441584000000,4834
1441670400000,4923
1441756800000,5035
1441843200000,5003
1441929600000,5141
1442016000000,5026
1442102400000,4971
1442188800000,4851
1442275200000,4842
1442361600000,4956
1442448000000,4808
1442534400000,4889
1442620800000,5078
1442707200000,5305
1442793600000,5075
1442880000000,5051
1442966400000,5165
1443052800000,5021
1443139200000,5126
1443225600000,4930
1443312000000,4773
1443398400000,4738
1443484800000,4640
1443571200000,4757
1443657600000,5210
1443744000000,5143
1443830400000,5077
1443916800000,4886
1444003200000,5009
1444089600000,4806
1444176000000,5004
1444262400000,5152
1444348800000,4905
1444435200000,4896
1444521600000,5073
1444608000000,5148
1444694400000,5108
1444780800000,4934
1444867200000,4926
1444953600000,4883
1445040000000,5056
1445126400000,4945
1445212800000,4975
1445299200000,4990
1445385600000,4990
1445472000000,4835
1445558400000,5263
1445644800000,5171
1445731200000,5096
1445817600000,4908
1445904000000,5220
1445990400000,4967
1446076800000,5158
1446163200000,5232
1446249600000,5129
1446336000000,5158
1446422400000,5024
1446508800000,5085
1446595200000,5125
1446681600000,5103
1446768000000,5142
1446854400000,4922
1446940800000,5021
1447027200000,5024
1447113600000,5053
1447200000000,5028
1447286400000,5079
1447372800000,5119
1447459200000,5127
1447545600000,5195
1447632000000,5039
1447718400000,5163
1447804800000,5075
1447891200000,4977
1447977600000,4721
1448064000000,5035
1448150400000,5049
1448236800000,5089
1448323200000,5001
1448409600000,4940
1448496000000,4940
1448582400000,5174
1448668800000,5008
1448755200000,5050
1448841600000,5080
1448928000000,5078
1449014400000,4824
1449100800000,5205
1449187200000,5008
1449273600000,5006
1449360000000,4913
1449446400000,4971
1449532800000,4911
1449619200000,5208
1449705600000,5144
1449792000000,5062
1449878400000,5076
1449964800000,5280
1450051200000,4999
1450137600000,5070
1450224000000,4982
1450310400000,5060
1450396800000,5020
1450483200000,5038
1450569600000,4947
1450656000000,4976
1450742400000,5129
1450828800000,5112
1450915200000,5018
1451001600000,5080
1451088000000,5004
1451174400000,5018
1451260800000,5081
1451347200000,4981
1451433600000,5028
1451520000000,5040
1451606400000,4885
1451692800000,5095
1451779200000,5134
1451865600000,5096
1451952000000,5126
1452038400000,5090
1452124800000,4981
1452211200000,5176
1452297600000,5099
1452384000000,5093
1452470400000,5107
1452556800000,4930
1452643200000,5002
1452729600000,5090
1452816000000,5084
1452902400000,5046
1452988800000,5036
1453075200000,5072
1453161600000,4972
1453248000000,5038
1453334400000,4963
1453420800000,5007
1453507200000,4928
1453593600000,5168
1453680000000,4881
